serial	track1_filename	md5
SCES-01912	Syphon Filter (Germany).bin	6b9559af0cba95783a377a68ea484d0d
SCES-01913	Syphon Filter (Italy).bin	1cbac8a094d389238265056b9af433fd
SCES-01914	Syphon Filter (Spain).bin	45b5b67e6a472039a794ff40ea3215d4
SCES-02080	Final Fantasy VIII (Europe, Australia) (Disc 1).bin	81757b4d993c141597383136beab3164
SCES-02104	Spyro 2 - Gateway to Glimmer (Europe) (En,Fr,De,Es,It).bin	ddfa3b76033fa95f424b6f8ea5d972a8
SCES-02105	CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl).bin	9f175b75193972a2acc8cce312a38c14
SCES-02146	Everybody's Golf 2 (Europe).bin	71c9e689425caf12b150c93b1306c231
SCES-02285	Syphon Filter 2 (Europe) (Disc 1) (Rev 1).bin	73a7089626649bb9769e78aeb28517f6
SCES-02286	Syphon Filter 2 (France) (Disc 1) (Rev 1).bin	a4a63e33c5ef6e105096afc765da0f6d
SCES-02287	Syphon Filter 2 (Germany) (Disc 1).bin	ed248fb93ac9a4ced77bf365445b44ed
SCES-02288	Syphon Filter 2 (Italy) (Disc 1) (Rev 1).bin	4b82c7cc0545c7aefd401f7253b5f80e
SCES-02565	Dragon Valor (France) (Disc 1) (Track 1).bin	faf5b32cebb8decfdafb5103a423725c
SCES-02566	Dragon Valor (Germany) (Disc 1) (Track 1).bin	4c5128d6eb6d341838d685a1afb7b007
SCES-02567	Dragon Valor (Italy) (Disc 1) (Track 1).bin	c8c61bce052847f4f4b80f4e6cf54f18
SCES-02568	Dragon Valor (Spain) (Disc 1) (Track 1).bin	e8daa989f80cdb1d33d8f02e331841b7
SCES-02771	Mr. Driller (Europe) (En,Fr,De,Es,It).bin	75d3b6e16ce384fe29491d9e6e739d57
SCES-02835	Spyro - Year of the Dragon (Europe) (En,Fr,De,Es,It) (Rev 1).bin	d0151e6785723b188fe957ff5a2c9814
SCES-02872	Monster Rancher (Europe).bin	7f9e793c575b2b4cfe1541bf5a56cde9
SCES-02873	Vib-Ribbon (Europe) (En,Fr,De,Es,It) (Track 1).bin	1a6c411a13d1a440ff23963e3721d2be
SCES-03043	Legend of Dragoon, The (Europe) (Disc 1).bin	feae7b7b93ba6b9a4dd6c64d2179c067
SCES-03044	Legend of Dragoon, The (France) (Disc 1).bin	b6540ff3bc0981d82ccbfa547902a468
SCES-03045	Legend of Dragoon, The (Germany) (Disc 1).bin	6885b7c18d1024ba30fd3996a1ac3a5e
SCES-03046	Legend of Dragoon, The (Italy) (Disc 1).bin	23a1529edca875b4e986bb509fc37ef3
SCES-03047	Legend of Dragoon, The (Spain) (Disc 1).bin	bb994389f7a6e9c3b5454d2131d98118
SCES-03533	Disney's Atlantis - The Lost Empire (Europe) (Track 1).bin	f6cbb697e51f54f307254b7cff405d2e
SCES-03697	Syphon Filter 3 (Europe, Australia).bin	d520536936a4421195b44dc885b30bdf
SCES-03698	Syphon Filter 3 (France).bin	f17fec696dda4073a621110e7b3a47ef
SCES-03699	Syphon Filter 3 (Germany).bin	728fdeef88d55cd0f8423e88306105cb
SCES-03700	Syphon Filter 3 (Italy).bin	2c72a63b88e7e40a9371dc96725bf230
SCES-03707	Disney's Peter Pan - Adventures in Never Land (Europe).bin	70dfecfbc9f57251a342d988e87564b3
SCES-03708	Disneys Peter Pan - Eventyr pa Onskeoen (Denmark).bin	41577efc6f29db7a90c845d2027f7f3a
SCES-03709	Disney's Peter Pan - Avonturen in Nooitgedachtland (Netherlands).bin	c9b5dbf6819ab643b436ed3c71c84c67
SCES-03710	Disneyn Peter Pan - Seikkailu Mika-Mika-Maassa (Finland).bin	5c170bfdf684425fb79e455b7dd8c6fc
SCES-03711	Disney Peter Pan - Aventures au Pays Imaginaire (France).bin	26afb2c2fc7bfbbc164777a974aa8b3d
SCES-03712	Disneys Peter Pan - Rueckkehr nach Nimmerland (Germany).bin	2ee3b32db3923ac8b28e6f4689dd4ebd
SCES-03713	Disney Peter Pan - L'Avventura nell'Isola che non c'e (Italy).bin	8ae456cd78e8e99a202f96f0e7a477c8
SCES-03714	Disneys Peter Pan - Eventyr i Drommeland (Norway).bin	743e5103132545065e63e6d004518b0b
SCES-03715	Disney Aventuras de Peter Pan en el Pais de Nunca Jamas (Spain).bin	c4e9dfef10dd9314ceaaabbc63d94ba6
SCES-03716	Disneys Peter Pan - Aeventyr i landet Ingenstans (Sweden).bin	d6e00f9afc6fa6f54d2def1109393f3b
SCES-03717	Disney Peter Pan - Aventuras na Terra do Nunca (Portugal).bin	cdb5ee1f3a9fdd5c2e59320aca741442
SCES-03828	Final Fantasy VI (Europe, Australia).bin	c2af7873e5026d7dcce3f148acc70e6d
